"","coef","mean","SD"
"(Intercept)",41.533709083532,0,1
"CAR(12:0)",-0.297349212177804,-0.0203495040335285,0.393890137262293
"CAR(14:1)",-0.129649464286092,-0.0141876072101513,0.626741733426342
"CAR(14:2)",0.0310075537001695,-0.0114622673261713,0.333552484570132
"Cer(d18:1/24:0)",0.540176152407241,-0.00592987820231085,0.441401174477965
"Cer(d18:1/25:0)",0.0221419035021586,0.0204078249483762,0.712182836592633
"Cer(d18:2/24:0)",0.0342124479266356,-0.0127983406016017,0.44868093473615
"HexCer(d18:1/16:0)",-0.104068922165829,-0.0540572718579347,0.834032769320375
"LPC(0:0/15:0)",-0.154839023529323,-0.0128457500373448,0.964706632188698
"LPC(0:0/16:0)",-0.211909741717598,-0.108040509339323,0.382360788136769
"LPC(0:0/16:1)",0.0443380320278404,-0.0164104980703098,0.768634389551482
"LPC(0:0/18:0)",0.890090033900388,-0.135264690906724,0.346795361698099
"LPC(0:0/20:5)",0.880284842705779,0.0163694253732533,0.472493071884845
"LPC(16:0/0:0)",0.0975617311866431,-0.0887144593380551,1.42924824230972
"LPC(16:1/0:0)",0.0116988204186136,0.00120234267577292,0.851153780339968
"LPC(17:0/0:0)",-0.205218518863527,-0.110526495329231,0.673005495131601
"LPC(18:1/0:0)_2",0.0459123073831485,-0.085171055981578,0.8707444188708
"LPC(18:1/0:0)_1",-0.0655020562575143,-0.107826198109109,0.36750086922689
"LPC(20:3/0:0)_1",-0.173495130610006,-0.0205180754923051,0.277128650784684
"LPC(20:4/0:0)",-0.107737985366037,-0.00605121979079711,0.478428201645299
"LPC(20:5/0:0)",0.392027414148265,0.0144576882146116,0.457600743144855
"LPC(O-18:1/0:0)_1",-0.604153828630418,-0.152123660016645,0.483465243874876
"MG(18:1)_2",0.325777763739411,-0.0610640397736699,0.312337212810162
"PC(18:0/18:0)",0.0950430071711771,-0.0708730668656487,0.663738469436394
"PC(18:0/18:2)",-0.0175314982826436,-0.0215232266475708,0.986060886092794
"PC(18:0/20:3)",-0.0169471365557543,0.0155284152755944,0.897545265168817
"PC(18:0/20:4)",-0.161826169588721,0.0510132541074304,0.865682613820579
"PE(16:0/20:4)",0.16289702556158,0.0525612577744095,0.642699525373226
"SM(d16:1/22:0)",-0.183045621843468,0.0119713996763456,0.903009127763776
"SM(d18:1/18:0)",-0.156674449982757,-0.00743395648776247,0.865630133088766
"SM(d18:1/22:0)",-0.13956299684913,-0.0168452249064026,0.595704854020855
"SM(d18:2/18:0)",0.0326444556208925,-0.0472178596630613,0.46675116622431
"SM(d19:1/16:0)",0.00180344392582008,-0.0261180353812414,0.920706414731044
"TG(48:1)",0.13795593032243,0.0163763388973488,0.518699225945406
"TG(50:1)",-0.706676008296724,0.000421580315853206,0.477589652567055
"TG(52:1)",-0.527929634384044,0.00085679937848643,0.457405023086325
"TG(54:2)",-0.0108174193041951,-0.00297383313502344,0.410282917563879
"Cer(d18:0/22:0)",-0.0277360167765289,0.0241046604009468,0.701415246580552
"Cer(d18:0/24:0)",-0.0264435266545685,-0.0114332425664125,0.985625076659042
"Cer(t18:0/24:1)",0.278579077083584,-0.0015372842368391,0.776669540625646
"LPE(0:0/18:2)",-0.254770389964742,-0.0292722851552747,0.917945427025629
"PC(14:0/22:6)",-0.080407164113542,0.0814504201999494,0.650958829670667
"PC(O-16:0/22:5)",0.430825678115776,0.00469312388654357,0.448195347725527
"PC(O-18:0/20:4)",-0.0850083964212856,-0.0323662572277156,0.919299820776343
"PC(O-22:0/18:2)",0.216963482048195,-0.0315493310526638,0.419595514025705
"PC(O-22:0/20:3)",-0.275217661286152,-0.0262087354141391,0.443726539064862
"PC(O-24:0/20:4)",0.00773118454120005,-0.0145021163357674,0.857531437416254
"PC(O-24:1/22:4) and/or PC(P-24:0/22:4)",-0.315985557785832,-0.0171520098821415,0.468587177869279
"PC(O-24:1/22:5) and/or PC(P-24:0/22:5)",-0.371401209786843,0.00560515804271718,0.392697976551723
"PC(O-26:1/20:4) and/or PC(P-26:0/20:4)",0.21188943192024,-0.00569240097463362,0.660363514170068
"TG(42:0)",-0.193206367732969,0.0117228297369037,0.614576417928361
"TG(50:5)_1",0.00169508732271172,0.0472816833474448,0.329676879189394
"TG(52:6)_3",0.638131224987231,0.0675752416925049,0.444913704865663
"TG(55:3)",-0.0764239812079799,0.010919133345401,0.641037719023097
"TG(56:3)",-0.0216278784601534,-0.000729461813087275,0.624912930601561
"TG(58:1)",-0.254929688465503,-0.0139918859439597,0.333786809942289
"TG(58:7)_1",-0.387288168952297,0.0214546789899274,0.934414605769374
"TG(60:3)",0.842445579965476,-0.0280181341218192,0.284215454628619
"TG(60:4)_1",0.0687006530757547,-0.00565967391236905,0.351286232031766
"alpha-carotene",0.250781335135585,-0.026234776768512,0.356636591805339
"beta carotene_1",-0.0635294566203586,-0.0320555227182575,0.448657041292836
"Luteine",0.0840167281410831,0.0262654815593878,0.795759716464424
"zeta-carotene",-0.0549649148088939,-0.0507927940817511,0.637097464275875
"CAR(8:0)",0.000891659219451888,0.00363691069399631,0.744095205399949
"CAR(18:1-DC)",0.0999845586947706,-0.0523805048041443,0.364787462332071
"HexCer(d18:1/22:0)",0.097279884802887,-0.0290817951703504,0.470027883011479
"LPA(18:2/0:0)",-0.964309245760836,-0.101498302044623,0.321116633177203
"LPA(20:4/0:0)",0.0450012403620683,-0.0322660221291769,0.918616685488824
"LPC(22:0/0:0)",-0.00160217440225631,-0.0433956819070106,0.422716217880302
"LPC(O-20:0/0:0)",0.087193843382305,-0.0972422032867691,0.343941973080026
"PC(14:0/18:2)",-0.364051083937761,0.0745241008680095,0.715156849616876
"PC(16:0/16:0)",0.0493366717597299,-0.0148620627775185,0.553496820280069
"PC(16:0/18:2)",-0.0318891619332044,-0.0237399012084203,0.641110736176038
"PC(O-16:0/16:0)",-0.000941601991351686,0.0144501692179169,0.527386809321831
"PE(O-18:1/20:4) and/or PE(P-18:0/20:4)",-0.117925839821219,-0.0514414319923494,0.438250242767416
"SM(d17:1/16:0)",0.0933314346536805,0.00351453388397009,0.623112976843922
"SM(d18:2/16:0)_1",0.854473055063084,0.0181530553717314,0.399608203325504
"Sphingosine-1-phosphate",-0.265633883844579,0.0162515885743607,0.893134557907204
"TG(46:1)",0.235148316925971,0.0111242258388479,0.520036569611396
"TG(46:2)",0.05562037803736,0.0238756220754206,0.439029110143306
"CAR(16:2)",0.043016824381653,-0.032611783141692,0.306478219326942
"Cer(d42:3); Cer(d18:2/24:1)| Cer(d18:1/24:2)",0.0492025735653243,-0.00869625156755709,0.910702265495933
"HexCer(d18:1/23:0)",0.0698347917000878,-0.0244011543828266,0.948135981423882
"LPC(O-26:1/0:0)",0.129260259365041,-0.0215441176652027,0.709814627555026
"SM(d30:1); SM(d16:1/14:0) | SM(d18:1/12:0)",1.78747835196745,0.0332639176852661,0.375011268126851
"TG(42:1)",-0.0814749667597304,0.0186959136870051,0.571838899931483
"TG(49:1)",-0.0908079071719329,0.0229796456970741,0.583325497000432
"retinol",0.272601906591797,0.0168047015156082,0.441614507595243
"LacCer(d18:1/16:0)_Na",-0.291822249416014,-0.0510169311955084,0.435522012738567
"LacCer(d18:1/16:0)_CH3COOH",0.209330714864501,-0.0271307602909185,0.346148574115494
"FA(18:3)_1",0.290206346829421,-0.00389941344418812,0.967560723828066
"FA(22:5)_2",-1.02901337396113,0.0059104056432697,0.762300545492155
"FA(24:5)",0.0608688026942477,0.0179445757634482,0.88788922299694
"LPE(22:4/0:0)",-0.280834050205642,-0.0203259099717507,0.26455464078392
"LPI(0:0/18:0)",0.302452623668066,-0.052876509739184,0.493884849173897
"LPI(0:0/18:2)",-0.104444656814432,0.00121855409270589,0.978245793659748
"LPI(18:0/0:0)",0.0604181261356668,-0.0248551423095469,0.553581725104715
"LPI(18:1/0:0)_1",-0.139215312362353,-0.0305493853249457,0.656088089212587
"LPI(20:3/0:0)_2",0.0140528531476925,-0.0152853701481834,0.472784339815107
"LPI(20:4/0:0)",0.423444346135705,-0.0244739067688006,0.443582131433331
"LPI(22:5/0:0)",0.721144179434988,0.0231874266034455,0.392996779771912
"Cer(d34:0);  Cer(d18:0/16:0) | Cer(d16:0/18:0)",-0.0981571654854133,0.0241015954929358,0.850672671755419
"PA(16:0/18:1)",0.140792076414705,-0.0690982842175802,0.68962744914408
"PE(O-16:1/22:5) and/or PE(P-16:0/22:5)",-0.195710590141146,-0.00264357096395689,0.433984857596638
"Bilirubin",0.049690981271378,-0.0332883029676677,0.377550417355847
"FA(16:0)",-0.040158669639591,0.0111632953762833,0.579395750391935
"FA(18:1(OH))",-0.295182310398848,-0.0422841498672341,0.536316696905298
"FA(18:2(OH))",0.107034130839271,-0.0187371087314563,0.930124463192358
"FA(18:2)",0.200101075122299,0.00696918340232054,0.832474303530149
"FA(18:4)",0.0413712294626165,0.021193516618407,0.511580631884538
"FA(20:4)",0.426524013733806,-0.0312099288084253,0.56245180416056
"FA(24:0)",-0.255640869620613,-0.0268573076051691,0.50769878509561
"FA(24:4)",-0.0995384443573607,0.0425414552702547,0.610179147235353
"LPG(18:1/0:0)",-0.0357282171342087,-0.0358284293672991,0.635177040930435
"LPG(18:2/0:0)",-0.156196812536462,0.018118679765549,0.286066476035254
"LPI(22:6/0:0)",-0.0168756414320508,0.00667143256686669,0.930381570328394
"PE(18:0/22:6)",0.0320870004618316,0.0808187532620701,0.533886351177682
"PE(O-16:1/20:4) and/or PE(P-16:0/20:4)",-0.363495040394881,-0.0403221794768521,0.464157869089176
"PE(O-18:2/18:2) and/or PE(P-18:1/18:2)",0.0564301010947562,-0.059032781352768,0.937344656102345
"Sulfo2HexCer(d40:1)",0.103044451039497,-0.015390397985104,0.423647512024006
"SulfoHexCer(d18:1/18:0(OH))",-0.0010790864892668,-0.0360899882325613,0.923056596035335
"LacCer(d18:1/16:0)_H2PO4",0.0475616353077595,0.00740186120898262,0.544909621399027
"Hexanoylcarnitine CAR(6:0)",0.190245579002266,-0.00158898735565798,0.612608895192416
"Taurine",0.179949372797161,-0.0674470730218756,0.92631422816441
"Trigonelline",0.324646399527824,-0.0151982768531961,0.920800130350633
"Trimethylaminoacetone",1.42383336213942,-0.00880555100457306,0.53609281173726
"Niacinamide",-0.49882736917101,-0.0796055923795247,0.579562212209885
"Phenylacetyl carnitine",0.0251530716295411,-0.0377720154482324,0.967937259881895
"3-methylhistidine",-0.15684776980066,-0.00131344493716118,0.581225553295887
"Hypoxanthine",-0.530156584936446,-0.0222316575915171,0.758138481208464
"Benzoylcarnitine",0.219654686263661,0.0128382274395631,0.590909958038544
"Hexadecenoylcarnitine CAR(16:1)",0.578560856520699,0.0155710317992514,0.739741066667333
"Inosine",0.187295177124185,0.0237806795145337,0.925336882478131
"Butyryl- | isobutyrylcarnitine CAR(4:0)",-0.0898436347704865,-0.0345499105743939,0.461628398173842
"7-Methylguanine",-0.00171520505533393,0.00311675388451905,0.71482672339764
"N1-methyl-2-pyridone-5-carboxamide",-0.335596591065886,-0.0692087577289032,1.09185368878769
"N1-methyl-4-pyridone-3-carboxamide",-0.200807894882026,-0.0375971570919497,0.691781236722125
"Cortisol",0.00405160582994836,0.0225335464857168,0.813548350624919
"1-Methyladenosine",0.159516522982163,-0.00916671699801558,0.357613887695864
"1-Methylnicotinamide",0.116215219285317,-0.0315537326023638,0.791016970169351
"N4-Acetylcytidine",0.0277480395906827,0.0206440800580744,1.00092336713694
"1-Methylpiperidine-2-carboxylic acid (N-methyl pipecolic acid)",-0.0310903720334212,-0.00622428154453577,0.843428184430406
"Tryptophan betaine",-0.0151612091490526,-0.0835131914966682,0.940787069893604
"Glycolithocholic acid",0.173653295624947,0.0183290433962703,0.96479488109232
"Tauroursodeoxycholic acid | Taurochenodeoxycholic acid",-0.00803269354283461,0.00881513180717718,0.959297452490836
"Taurodeoxycholic Acid",-0.0166626599675126,0.0111353863771585,0.32746714319905
"Glycine",0.152567791573693,-0.0336729697475678,0.71747254833527
"Glucose",0.481636927488355,0.0371812907950962,0.961590040002221
"LDCH",-0.046517327568894,-0.0451469841547099,0.911161704100528
"L6PN",0.11688488226596,-0.00158105386745835,0.38057580467587
"LDTG",0.0494804247692282,-0.0150714497991517,0.569328310507855
"HDA2",-0.131912220419204,0.0661022585436988,0.646933455934726
"IDAB",-0.192375139351057,-0.031277372751939,0.543972658806882
"V3CH",-0.557769974479081,0.0234851885598424,0.289949750377288
"V4CH",0.0615268820256378,0.00333286692919848,0.364349879963623
"V4FC",-0.000434925477308068,-0.0101339171639083,0.337864941616013
"V4PL",-0.0759828173150924,-0.00364033466621711,0.326763429946371
"V5PL",0.144138785564009,0.0169032854516231,0.883617961570482
"L1TG",0.139068352141261,-0.00244439757220642,0.390198537193263
"L3TG",2.2183602581311,-0.0188308098995785,0.439342476062489
"L4TG",0.0711856786152349,0.00681087894859954,0.813754984457893
"L5TG",0.174759965216324,0.00425130065340657,0.591772423052009
"L6TG",-0.128800571890802,-0.000521332401575453,0.570914272769914
"L2CH",-0.0418590729587675,-0.0158552566008382,0.280053662271231
"L3CH",0.125984265977778,-0.0398269819614825,0.96157218524517
"L4CH",-0.105384304959414,-0.0538821942468181,0.977400186730412
"L6CH",0.0785547731581111,-0.00756719859017887,0.37302376876186
"L2FC",0.0464549012549594,-0.0167981274002263,0.433428472419373
"L5FC",0.136513952193741,-0.0104451926859251,0.481350308977562
"L1PL",0.0398094912332465,-0.0438071771014702,0.578042612005466
"L2PL",-0.456749285800666,-0.0114128509165488,0.272179423217823
"L3PL",0.0761148082615094,-0.0193749103568133,0.722423020691525
"L5PL",0.15168830281536,-0.0166833923639471,0.519898915836456
"L6PL",-0.0614332135837255,0.00447398067068451,0.460709495242295
"L6AB",0.120875461079804,-0.00153547261859854,0.380460804793445
"H4CH",-0.0946100355222187,0.00585000816546018,0.489086458497217
"H4A1",-0.242688990168011,0.0234982602787488,0.306519198576378
"Alanine_BIQUANT",1.25557151690981,0.0217686061922177,0.293530558126081
